jp_address	eu_address	kind	method	confidence	note
83:89FB	83:89FB	script	exact	medium	local block 9 bytes; test; crates/crysta-runtime/src/actors/cadence.rs:319
83:8A05	83:8A05	sprite	exact	medium	local block 6 bytes; code; crates/assets/src/sprites/pandora_phases.rs:144
83:8A19	83:8A19	script	exact	medium	local block 8 bytes; code; crates/assets/src/sprites/pandora_phases.rs:145 (+2)
83:8A23	83:8A23	script	exact	medium	local block 5 bytes; code; crates/assets/src/sprites/pandora_phases.rs:146 (+2)
83:8A2D	83:8A2D	script	exact	medium	local block 9 bytes; code; crates/assets/src/sprites/pandora_phases.rs:147 (+3)
83:8A73	83:8A73	map	aligned	medium	gap 0x6 bytes, same length; code; crates/assets/src/maps/visual/crysta_animation.rs:20 (+1)
83:8A78	83:8A78	map	exact	high	local block 4 bytes +table; code; crates/assets/src/maps/visual/crysta_animation.rs:21
83:8A79	83:8A79	map	exact	medium	local block 4 bytes; test; crates/assets/src/maps/visual/crysta_animation.rs:436
83:8A7D	83:8A7D	map	exact	medium	local block 4 bytes; code; crates/assets/src/maps/visual/crysta_animation.rs:22
83:8A7F	83:8A7F	map	aligned	medium	gap 0x1 bytes, same length; test; crates/assets/src/maps/visual/crysta_animation.rs:436
83:8A82	83:8A82	map	exact	medium	local block 4 bytes; code; crates/assets/src/maps/visual/crysta_animation.rs:23 (+1)
83:8A86	83:8A86	map	estimate	low	gap 0x6->0xa bytes; test; crates/assets/src/maps/visual/crysta_animation.rs:446
83:8B96	83:8B9E	sprite	exact	medium	local block 5 bytes; test; crates/assets/src/sprites/house_tests.rs:262
83:8C0A	83:8C12	sprite	exact	medium	local block 5 bytes; code; crates/assets/src/sprites/house_tests.rs:263 (+5)
83:8C14	83:8C1C	sprite	exact	medium	local block 6 bytes; code; crates/assets/src/sprites/house_tests.rs:192 (+6)
83:8C1E	83:8C26	sprite	exact	medium	local block 8 bytes; code; crates/assets/src/sprites/house_tests.rs:265 (+3)
83:8C28	83:8C30	sprite	exact	medium	local block 6 bytes; code; crates/assets/src/sprites/house_tests.rs:266 (+3)
83:8CA1	83:8CA9	sprite	exact	high	run 0xf bytes; test; crates/assets/src/sprites/house_tests.rs:367 (+3)
83:8CB4	83:8CBC	script	exact	medium	local block 5 bytes; test; crates/assets/src/sprites/house_tests.rs:200 (+3)
83:8CFA	83:8D02	map	exact	high	run 0xe bytes; code; crates/assets/src/maps/visual/pandora.rs:123
83:8D03	83:8D0B	sprite	exact	high	run 0xe bytes; test; crates/assets/src/sprites/house_tests.rs:274
83:8D1E	83:8D26	sprite	exact	high	run 0x14 bytes; test; crates/assets/src/sprites/house_tests.rs:372 (+1)
83:8D4F	83:8D57	sprite	exact	medium	local block 5 bytes; test; crates/assets/src/sprites/house_tests.rs:221 (+2)
83:8D50	83:8D58	sprite	exact	medium	local block 5 bytes; test; crates/assets/src/sprites/house_tests.rs:295
83:8D51	83:8D59	sprite	exact	medium	local block 5 bytes; test; crates/assets/src/sprites/house_tests.rs:296 (+1)
83:8D53	83:8D5B	sprite	aligned	medium	gap 0x2 bytes, same length; test; crates/assets/src/sprites/house_tests.rs:379
83:8D69	83:8D71	sprite	exact	high	run 0x10 bytes +code; test; crates/assets/src/sprites/house_npc.rs:106
83:8D72	83:8D7A	sprite	exact	high	run 0x10 bytes; test; crates/assets/src/sprites/house_npc.rs:207
83:8D7C	83:8D84	sprite	exact	medium	local block 5 bytes; test; crates/assets/src/sprites/house_npc.rs:114 (+2)
83:8D7D	83:8D85	sprite	exact	medium	local block 5 bytes; test; crates/assets/src/sprites/house_npc.rs:184
83:8D7E	83:8D86	sprite	exact	medium	local block 5 bytes; test; crates/assets/src/sprites/house_npc.rs:185
83:8D86	83:8D8E	sprite	exact	medium	local block 6 bytes; test; crates/assets/src/sprites/house_tests.rs:166 (+1)
83:8DE2	83:8DEA	sprite	exact	medium	local block 5 bytes; test; crates/assets/src/sprites/house_tests.rs:270
83:8EAB	83:8EB3	map	exact	high	run 0xf bytes; code; crates/assets/src/maps/visual/pandora.rs:124
83:8EBE	83:8EC6	sprite	exact	medium	local block 4 bytes; code; crates/assets/src/sprites/pandora_phases.rs:155
83:8F67	83:8F6F	script	exact	medium	local block 5 bytes (one side); test; crates/crysta-runtime/src/actors/cadence.rs:324
83:9000	83:9008	sprite	estimate	low	gap 0x17->0x12 bytes; test; crates/assets/src/maps/visual/camera.rs:128 (+1)
83:9001	83:9009	map	estimate	low	gap 0x17->0x12 bytes; test; crates/assets/src/maps/visual/camera.rs:131 (+1)
83:9002	83:900A	code	estimate	low	gap 0x17->0x12 bytes; test; crates/crysta-runtime/src/world.rs:1706
83:9013	83:9016	sprite	aligned	medium	gap 0x4 bytes, same length; test; crates/assets/src/sprites/house_tests.rs:461
83:90BD	83:90BB	script	exact	medium	local block 5 bytes; test; crates/crysta-runtime/src/actors/cadence.rs:328
83:90F7	83:90F5	script	exact	medium	local block 10 bytes; test; crates/crysta-runtime/src/actors/cadence.rs:334
83:923A	83:9244	map	exact	high	run 0xe bytes; code; crates/assets/src/maps/visual/pandora.rs:125
83:9243	83:924D	sprite	exact	high	run 0xe bytes; test; crates/assets/src/sprites/house_tests.rs:274
83:9268	83:9272	map	exact	high	run 0x15 bytes; code; crates/assets/src/maps/visual/pandora.rs:126
83:927B	83:9285	sprite	exact	medium	local block 6 bytes; code; crates/assets/src/sprites/pandora_phases.rs:241
83:928F	83:9299	sprite	exact	medium	local block 5 bytes; code; crates/assets/src/sprites/house_tests.rs:274 (+1)
83:9527	83:9531	map	exact	high	run 0x13 bytes; code; crates/assets/src/maps/visual/pandora.rs:127
83:9530	83:953A	sprite	exact	high	run 0x13 bytes; code; crates/assets/src/sprites/pandora_phases.rs:257 (+1)
83:9569	83:9570	map	exact	high	run 0xe bytes; code; crates/assets/src/maps/visual/pandora.rs:128
83:9572	83:9579	sprite	exact	high	run 0xe bytes; code; crates/assets/src/sprites/pandora_phases.rs:288
83:957C	83:9583	sprite	exact	medium	local block 6 bytes; code; crates/assets/src/sprites/pandora_phases.rs:295
83:95B7	83:95BC	map	exact	high	run 0xe bytes; code; crates/assets/src/maps/visual/pandora.rs:129
83:95C0	83:95C5	sprite	exact	high	run 0xe bytes; code; crates/assets/src/sprites/pandora_phases.rs:289
83:95F4	83:95F5	map	exact	high	run 0xe bytes; code; crates/assets/src/maps/visual/pandora.rs:130
83:95FD	83:95FE	sprite	exact	high	run 0xe bytes; code; crates/assets/src/sprites/pandora_phases.rs:287
83:EBE4	83:EB8C	sprite	pointer	medium	12 of 0 code refs, 12 table refs agree; gap 0x14->0x15 bytes; code; crates/assets/src/sprites/pandora.rs:293 (+5)
83:EC7E	83:EC26	sprite	exact	high	run 0xc bytes +table; code; crates/assets/src/sprites/pandora.rs:294 (+1)
83:ECAE	83:EC56	sprite	exact	high	run 0xc bytes +table; test; crates/assets/src/sprites/house_tests.rs:350
83:ECC6	83:EC6E	sprite	exact	high	local block 10 bytes +table; code; crates/assets/src/sprites/pandora.rs:296 (+2)
83:ED37	83:ECDF	script	exact	high	run 0xc bytes +table; code; crates/assets/src/maps/actors.rs:595 (+5)
83:ED5A	83:ED02	sprite	exact	high	local block 10 bytes +table; code; crates/assets/src/sprites/house_npc.rs:127 (+16)
83:ED62	83:ED0A	sprite	exact	high	run 0xc bytes; test; crates/assets/src/sprites/house_npc.rs:209
83:ED65	83:ED0D	sprite	exact	high	run 0xc bytes; test; crates/assets/src/sprites/house_npc.rs:210
83:ED67	83:ED0F	sprite	exact	high	run 0xc bytes +table; test; crates/assets/src/sprites/house_tests.rs:199 (+1)
83:ED74	83:ED1C	sprite	exact	high	run 0xc bytes +table; code; crates/assets/src/sprites/house_tests.rs:349 (+2)
83:ED7F	83:ED27	sprite	exact	high	local block 10 bytes +table; test; crates/assets/src/sprites/house_tests.rs:470
83:EDEB	83:ED93	script	exact	high	run 0xc bytes +table +shape; test; crates/assets/src/sprites/house_tests.rs:470 (+1)
83:EDED	83:ED95	script	estimate	low	anchors disagree; test; crates/crysta-runtime/src/actors/cadence.rs:406
83:EDEE	83:ED89	script	exact	high	run 0xc bytes; test; crates/crysta-runtime/src/actors/cadence.rs:395 (+2)
83:EDF8	83:EDA0	sprite	hand	high	the C spawn $83:8C30 names it (the run matched the descriptor before); code; crates/assets/src/sprites/pandora.rs:299 (+1)
83:F8A8	83:F850	sprite	exact	high	run 0xc bytes +table; code; crates/assets/src/sprites/pandora.rs:301 (+4)
83:F8C0	83:F868	sprite	exact	high	local block 10 bytes +table; code; crates/assets/src/sprites/pandora.rs:300 (+2)
83:F984	83:F92C	sprite	exact	high	local block 7 bytes (one side) +table; code; crates/assets/src/sprites/pandora.rs:406 (+5)
83:F98D	83:F935	sprite	aligned	medium	gap 0x5 bytes, same length (one side); test; crates/assets/src/sprites/pandora_tests.rs:218
83:F990	83:F938	sprite	exact	medium	local block 8 bytes (one side); test; crates/assets/src/sprites/pandora_tests.rs:218
83:FFCF	FE:6883	sprite	estimate	low	anchors disagree; test; crates/assets/src/sprites/house_tests.rs:373
83:FFED	FE:68A1	sprite	estimate	low	anchors disagree; test; crates/assets/src/sprites/house_tests.rs:368
84:0000	84:0000	bank	bank	high	bank of 15 weighted addresses in it; run 0x8000 bytes +shape +lz; code; crates/assets/src/maps/actors.rs:19
84:A12E	84:A12E	script	exact	high	run 0x1f4 bytes +shape; code; crates/crysta-runtime/src/residents.rs:101
84:B4C8	84:B4C8	sprite	exact	high	run 0x11 bytes; code; crates/assets/src/sprites/pandora.rs:696
84:B4DA	84:B4DA	sprite	exact	high	run 0x11 bytes; code; crates/assets/src/sprites/pandora.rs:697
84:B4F7	84:B4F7	sprite	exact	high	run 0x11 bytes; code; crates/assets/src/sprites/pandora.rs:698
84:B509	84:B509	sprite	exact	high	run 0x10 bytes +code; code; crates/assets/src/sprites/pandora.rs:710
84:B51A	84:B51A	sprite	exact	high	run 0x14 bytes; code; crates/assets/src/sprites/pandora.rs:710
84:B52F	84:B52F	sprite	exact	high	run 0xe bytes; code; crates/assets/src/sprites/pandora.rs:710
84:B540	84:B540	sprite	exact	high	run 0x12 bytes; code; crates/assets/src/sprites/pandora.rs:699
84:B553	84:B553	sprite	exact	high	run 0x18 bytes; code; crates/assets/src/sprites/pandora.rs:700
84:B56A	84:B56A	sprite	exact	high	run 0x12 bytes; code; crates/assets/src/sprites/pandora.rs:701
84:BE7C	84:BE7C	sprite	exact	high	run 0xbe bytes; code; crates/assets/src/sprites/pandora.rs:702
84:BE88	84:BE88	sprite	exact	high	run 0xbe bytes; code; crates/assets/src/sprites/pandora.rs:703
84:BE98	84:BE98	sprite	exact	high	run 0xbe bytes; code; crates/assets/src/sprites/pandora.rs:704
84:C2B8	84:C2B8	sprite	exact	high	run 0x3f bytes +table +shape; code; crates/assets/src/sprites/pandora.rs:721
84:C701	84:C701	sprite	exact	high	run 0x3f4 bytes +shape; code; crates/assets/src/sprites/pandora.rs:718
85:0000	85:0000	bank	bank	high	bank of 11 weighted addresses in it; run 0x8000 bytes +table +shape +lz; code; crates/assets/src/text/pandora.rs:191
85:81E4	85:81E4	text	exact	high	run 0x50f bytes +code +shape; code; crates/assets/src/text/window.rs:19
85:96BE	85:970E	text	exact	high	run 0x2d bytes; code; crates/assets/src/text/pandora.rs:188
85:970D	85:975D	text	aligned	high	gap 0xd bytes, same length +code; code; crates/assets/src/text/pandora.rs:189
85:9711	85:9761	text	aligned	medium	gap 0xd bytes, same length; text page, no script names it: confirm with the EU text decoder; test; crates/assets/src/text/pandora/tests.rs:199
85:9713	85:9763	text	aligned	medium	gap 0xd bytes, same length; text page, no script names it: confirm with the EU text decoder; test; crates/assets/src/text/pandora/tests.rs:199
85:BEF7	85:BF8F	text	exact	high	run 0x255 bytes +shape; code; crates/assets/src/text/pandora.rs:178 (+2)
85:C800	85:C898	text	exact	high	run 0x2e bytes; test; crates/assets/src/text/pandora/tests.rs:200 (+1)
85:C802	85:C89A	text	aligned	medium	gap 0x2 bytes, same length (one side); text page, no script names it: confirm with the EU text decoder; test; crates/assets/src/text/pandora/tests.rs:200
C6:2191	C8:2191	music	exact	high	run 0x777f bytes +shape; code; crates/crysta-app/src/music_data.rs:108
86:959C	86:959C	sprite	exact	high	run 0x1ea bytes +code; code; crates/assets/src/maps/scripts.rs:14 (+8)
86:959F	86:959F	map	aligned	medium	gap 0x16 bytes, same length; test; crates/assets/src/maps/visual.rs:1109
86:95BA	86:95BA	map	exact	medium	local block 8 bytes; test; crates/assets/src/maps/visual.rs:932 (+1)
86:95BD	86:95BD	map	aligned	medium	gap 0x55 bytes, same length; test; crates/assets/src/maps/visual.rs:932
86:95C9	86:95C9	sprite	aligned	medium	gap 0x55 bytes, same length; test; crates/assets/src/sprites/house.rs:923 (+1)
86:A28C	86:A28C	map	exact	high	local block 5 bytes +code; code; crates/assets/src/maps/scripts.rs:15 (+9)
86:A28F	86:A28F	sprite	exact	medium	local block 5 bytes; code; crates/assets/src/sprites/pandora.rs:507
86:AC42	86:AC42	music	exact	high	run 0xfc0 bytes +code +table +shape; code; crates/crysta-app/src/music_data.rs:13
86:AC46	86:AC46	music	exact	high	run 0xfc0 bytes +shape; test; crates/crysta-app/src/music_data.rs:464
86:AC66	86:AC66	music	exact	high	run 0xfc0 bytes +shape; test; crates/crysta-app/src/music_data.rs:464
86:AC6A	86:AC6A	music	exact	high	run 0xfc0 bytes +shape; test; crates/crysta-app/src/music_data.rs:465
86:B85F	86:B85F	music	exact	high	run 0xfc0 bytes +table +shape; test; crates/crysta-app/src/music_data.rs:465
86:B863	86:B863	music	exact	high	run 0xfc0 bytes +shape; test; crates/crysta-app/src/music_data.rs:466
86:B8D2	86:B8D2	music	exact	high	run 0xfc0 bytes +shape; test; crates/crysta-app/src/music_data.rs:466
87:8C99	87:8C8E	text	exact	high	run 0x3d bytes; code; crates/assets/src/text.rs:397
87:973D	87:9697	sprite	exact	high	run 0x7c bytes +code +shape; code; crates/assets/src/sprites/pandora.rs:541
87:98C2	87:987F	script	exact	high	local block 11 bytes +table; code; crates/assets/src/maps/visual/scene_animation.rs:14 (+1)
87:98EB	87:98A8	script	exact	high	run 0x54 bytes +table +shape; code; crates/assets/src/maps/visual/scene_animation.rs:13 (+1)
88:0000	88:0000	bank	bank	high	bank of 97 weighted addresses in it; run 0x891 bytes; test; crates/assets/src/sprites/house_tests.rs:52 (+1)
88:8000	88:8000	text	exact	high	run 0x9d bytes +code +table +shape; test; crates/assets/src/text/tests.rs:3 (+50)
88:8001	88:8001	text	exact	high	run 0x9d bytes +code +table +shape; test; crates/assets/src/text/tests.rs:57 (+1)
88:8002	88:8002	script	exact	high	run 0x9d bytes +code +table +shape; test; crates/crysta-runtime/src/actors.rs:2543
88:8003	88:8003	text	exact	high	run 0x9d bytes +code +table +shape; test; crates/assets/src/text/pandora/tests.rs:203
88:8006	88:8006	text	exact	high	run 0x9d bytes +code +shape; test; crates/assets/src/text/pandora/tests.rs:236
88:8008	88:8008	text	exact	high	run 0x9d bytes +code +shape; test; crates/assets/src/text/pandora/tests.rs:142
88:8010	88:8010	script	exact	high	run 0x9d bytes +table +shape; test; crates/crysta-runtime/src/actors.rs:3097 (+1)
88:8029	88:8029	script	exact	high	run 0x9d bytes +code +table +shape; test; crates/crysta-runtime/src/actors.rs:3270
88:8FDA	88:91B1	text	exact	high	local block 7 bytes +code; code; crates/assets/src/text.rs:14
88:8FF0	88:91C6	text	exact	high	local block 6 bytes +code; code; crates/assets/src/text.rs:16 (+1)
88:9000	88:91D6	text	estimate	low	gap 0xc->0x2e bytes; test; crates/assets/src/text/tests.rs:168 (+1)
88:9002	88:91FA	text	exact	medium	local block 7 bytes; text page, no script names it: confirm with the EU text decoder; test; crates/assets/src/text/tests.rs:168
88:905A	88:925C	text	pointer	medium	1 rewritten code refs agree (1 code refs, 0 table refs); bytes suggested 88:9400 (local block 8 bytes); code; crates/assets/src/text.rs:18 (+3)
88:90D9	88:931A	text	pointer	medium	1 rewritten code refs agree (1 code refs, 0 table refs); bytes suggested 88:946C (local block 4 bytes); code; crates/assets/src/text.rs:24 (+3)
88:9156	88:94C8	text	exact	medium	local block 6 bytes; text page, no script names it: confirm with the EU text decoder; code; crates/assets/src/text.rs:25 (+1)
88:918C	88:9548	text	exact	medium	local block 8 bytes; text page, no script names it: confirm with the EU text decoder; code; crates/assets/src/text.rs:26 (+2)
88:91D6	88:9591	text	exact	medium	local block 4 bytes; text page, no script names it: confirm with the EU text decoder; code; crates/assets/src/text.rs:27 (+2)
88:98A9	88:9D51	sprite	exact	high	run 0xc bytes +table; test; crates/assets/src/sprites/house_npc.rs:117
88:98D3	88:9D7B	sprite	aligned	high	gap 0x12 bytes, same length +code +table; test; crates/assets/src/sprites/house_npc.rs:120
88:98D7	88:9D7F	sprite	exact	high	run 0x12 bytes; test; crates/assets/src/sprites/house_npc.rs:208 (+1)
88:9A6A	88:9F4D	sprite	exact	high	run 0x10 bytes +table; code; crates/assets/src/sprites/pandora_phases.rs:395
88:9AD0	88:9FB3	sprite	exact	high	run 0x10 bytes +shape; code; crates/assets/src/sprites/pandora_phases.rs:173
88:9AE9	88:9FCC	text	exact	high	run 0x10 bytes +shape; code; crates/assets/src/text/pandora.rs:15
88:9AFB	88:9FDE	text	exact	medium	local block 7 bytes; text page, no script names it: confirm with the EU text decoder; code; crates/assets/src/text/pandora.rs:16
88:9B01	88:9FE4	sprite	exact	high	run 0x14 bytes; code; crates/assets/src/sprites/pandora_phases.rs:178 (+1)
88:9B11	88:9FF4	text	exact	high	run 0x14 bytes; code; crates/assets/src/text/pandora.rs:17
88:9B9F	88:A082	text	exact	high	run 0x24 bytes +shape; code; crates/assets/src/text/pandora.rs:20
88:9BC2	88:A0A5	text	exact	high	run 0xe bytes +shape; code; crates/assets/src/text/pandora.rs:21
88:9BEF	88:A0D2	text	exact	high	run 0x2b bytes +shape; code; crates/assets/src/text/pandora.rs:22
88:9C10	88:A0F3	text	exact	high	run 0x1f bytes; code; crates/assets/src/text/pandora.rs:25
88:9C16	88:A0F9	sprite	exact	high	run 0x24 bytes; code; crates/assets/src/sprites/pandora_phases.rs:363
88:9C25	88:A108	sprite	exact	high	run 0x24 bytes; code; crates/assets/src/sprites/pandora_phases.rs:363
88:9DA9	88:A28C	text	aligned	medium	gap 0x6 bytes, same length; text page, no script names it: confirm with the EU text decoder; code; crates/assets/src/text/pandora.rs:18
88:9DC3	88:A2A6	text	exact	high	local block 11 bytes +code; code; crates/assets/src/text/pandora.rs:21 (+2)
88:9DEB	88:A2D7	text	exact	high	local block 10 bytes +code; code; crates/assets/src/text/pandora.rs:22 (+2)
88:9E0A	88:A2FD	text	exact	high	local block 4 bytes +code; code; crates/assets/src/text/pandora.rs:25 (+2)
88:9E9C	88:A3A7	text	exact	high	local block 4 bytes +code; code; crates/assets/src/text/pandora.rs:15 (+2)
88:9EE3	88:A40F	text	exact	high	local block 4 bytes +code; code; crates/assets/src/text/pandora.rs:16 (+2)
88:9EFC	88:A435	text	exact	high	local block 4 bytes +code; code; crates/assets/src/text/pandora.rs:17 (+4)
88:9FA9	88:A513	text	exact	high	local block 8 bytes +code; code; crates/assets/src/text/pandora.rs:18 (+2)
88:A15F	88:A78A	text	exact	high	local block 4 bytes +code; code; crates/assets/src/text/pandora.rs:19 (+2)
88:A17B	88:A7B7	text	exact	high	local block 4 bytes +code; code; crates/assets/src/text/pandora.rs:20 (+2)
88:A1A4	88:A7E8	sprite	exact	high	run 0x12 bytes +table; code; crates/assets/src/sprites/pandora_phases.rs:396
88:A20A	88:A84E	sprite	exact	high	run 0xe bytes +shape; code; crates/assets/src/sprites/pandora_phases.rs:174
88:A241	88:A885	text	exact	high	run 0x1c bytes; code; crates/assets/src/text/pandora.rs:23
88:A247	88:A88B	sprite	exact	high	run 0x38 bytes; code; crates/assets/src/sprites/pandora_phases.rs:355
88:A256	88:A89A	sprite	exact	high	run 0x38 bytes; code; crates/assets/src/sprites/pandora_phases.rs:355
88:A295	88:A8D9	text	exact	high	local block 6 bytes +code; code; crates/assets/src/text/pandora.rs:23 (+2)
88:A321	88:A9A6	sprite	exact	high	run 0x10 bytes +table +shape; code; crates/assets/src/sprites/pandora_phases.rs:397
88:A387	88:AA0C	sprite	exact	high	run 0xe bytes +shape; code; crates/assets/src/sprites/pandora_phases.rs:172
88:A38B	88:AA10	sprite	exact	high	run 0xe bytes; test; crates/assets/src/sprites/pandora_tests.rs:208
88:A3D9	88:AA5E	text	exact	high	run 0x31 bytes; code; crates/assets/src/text/pandora.rs:24
88:A3DF	88:AA64	sprite	exact	high	run 0x3a bytes; code; crates/assets/src/sprites/pandora_phases.rs:359
88:A3EA	88:AA6F	sprite	exact	high	run 0x3a bytes; code; crates/assets/src/sprites/pandora_phases.rs:359
88:A420	88:AAA5	text	exact	medium	local block 6 bytes; text page, no script names it: confirm with the EU text decoder; code; crates/assets/src/text/pandora.rs:24 (+2)
88:A4EB	88:ABB9	sprite	exact	high	run 0x10 bytes +table; code; crates/assets/src/sprites/pandora_phases.rs:398
88:A56D	88:AC3B	sprite	exact	high	run 0x51 bytes; code; crates/assets/src/sprites/pandora_phases.rs:348
88:A56F	88:AC3D	sprite	exact	high	run 0x51 bytes +shape; test; crates/assets/src/sprites/pandora_tests.rs:211
88:A578	88:AC46	sprite	exact	high	run 0x51 bytes; code; crates/assets/src/sprites/pandora_phases.rs:349
88:A583	88:AC51	sprite	exact	high	run 0x51 bytes; code; crates/assets/src/sprites/pandora_phases.rs:350
88:A868	88:AFEF	script	exact	high	run 0x10 bytes +shape; test; crates/crysta-runtime/src/actors.rs:2845 (+2)
88:ABBC	88:B3FA	text	aligned	medium	gap 0x6 bytes, same length +shape; text page, no script names it: confirm with the EU text decoder; code; crates/assets/src/text/pandora.rs:19
88:ACF5	88:B550	sprite	exact	high	run 0xe bytes +table; code; crates/assets/src/sprites/pandora_phases.rs:399
88:AD95	88:B5F0	text	exact	high	run 0x49 bytes +shape; code; crates/assets/src/text/pandora.rs:26
88:ADB7	88:B612	text	exact	high	run 0xc bytes +shape; code; crates/assets/src/text/pandora.rs:27
88:ADCB	88:B626	text	exact	high	run 0x15 bytes +code; code; crates/assets/src/text/pandora.rs:26 (+2)
88:ADF2	88:B653	text	exact	high	local block 10 bytes +code; code; crates/assets/src/text/pandora.rs:27 (+3)
88:AE29	88:B68A	text	estimate	low	gap 0x63->0x86 bytes; test; crates/assets/src/text/pandora/tests.rs:77
88:AE50	88:B6B1	text	estimate	low	gap 0x63->0x86 bytes; test; crates/assets/src/text/pandora/tests.rs:79
88:AE5E	88:B6E2	text	exact	high	run 0x1f bytes +shape; test; crates/assets/src/text/pandora/tests.rs:77
88:AE77	88:B6FB	text	exact	high	run 0x1f bytes; code; crates/assets/src/text/pandora.rs:28
88:AE85	88:B709	text	exact	high	run 0xc bytes; code; crates/assets/src/text/pandora.rs:29
88:AE93	88:B717	text	exact	high	run 0xc bytes +shape; code; crates/assets/src/text/pandora.rs:30
88:AEA1	88:B725	text	exact	high	run 0xc bytes +shape; code; crates/assets/src/text/pandora.rs:31
88:AEB8	88:B73C	sprite	exact	high	run 0x28 bytes +table +shape; code; crates/assets/src/sprites/pandora_phases.rs:400
88:AFA6	88:B82A	text	exact	high	run 0x6c bytes +code; code; crates/assets/src/text/pandora.rs:28 (+2)
88:AFE1	88:B874	text	exact	high	local block 4 bytes +code; code; crates/assets/src/text/pandora.rs:29 (+2)
